,0
1703,COG1487
1704,COG1848
1705,COG4113
1706,COG1487
1707,COG4423
1708,COG3742
1709,COG3742
1710,COG4691
1711,COG5450
1712,COG2002
1713,COG3744
1714,COG3742
1715,COG1848
1716,COG1487
1717,COG4118
1718,COG4423
1719,COG4118
1720,COG4423
1721,COG1487
1722,COG1216
1723,COG3464
1724,COG1804
1725,COG0134
1726,COG1307
1727,COG3268
1728,COG0802
1729,COG0159
1730,COG0547
1731,COG0101
1732,COG0009
1733,COG1189
1734,COG0084
1735,COG2062
1736,COG2303
1737,COG0550
1738,COG1754
1739,COG2022
1740,COG0352
1741,COG0611
1742,COG2897
1743,COG1351
1744,COG0021
1745,COG0526
1746,COG2897
1747,COG0351
1748,COG0498
1749,COG0037
1750,COG0664
1751,COG1136
1752,COG4237
1753,COG1752
1754,COG3336
1755,COG0031
1756,COG0517
1757,COG2114
1758,COG1366
1759,COG2172
1760,COG2202
1761,COG2208
1762,COG2070
1763,COG1819
1764,COG0791
1765,COG2114
1766,COG2357
1767,COG0020
1768,COG3196
1769,COG0782
1770,COG1396
1771,COG1279
1772,COG0204
1773,COG0526
1774,COG4398
1775,COG4908
1776,COG0025
1777,COG0424
1778,COG0161
1779,COG0637
1780,COG0477
1781,COG2072
1782,COG4307
1783,COG1305
1784,COG4129
1785,COG5473
1786,COG1055
1787,COG1055
1788,COG1399
1789,COG3599
1790,COG0739
1791,COG0451
1792,COG0406
1793,COG0463
1794,COG0589
1795,COG3346
1796,COG3253
1797,COG3189
1798,COG2259
1799,COG0718
1800,COG1940
1801,COG1846
1802,COG3315
1803,COG1292
1804,COG1960
1805,COG0583
1806,COG0388
1807,COG1082
1808,COG5450
1809,COG1233
1810,COG3315
1811,COG2771
1812,COG3903
1813,COG3903
1814,COG3315
1815,COG2220
1816,COG2141
1817,COG1136
1818,COG1862
1819,COG0319
1820,COG3315
1821,COG2764
1822,COG0647
1823,COG1012
1824,COG0154
1825,COG1012
1826,COG1716
1827,COG0276
1828,COG0296
1829,COG2844
1830,COG0578
1831,COG1819
1832,COG0112
1833,COG0448
1834,COG0438
1835,COG0403
1836,COG1003
1837,COG1207
1838,COG0404
1839,COG0438
1840,COG0449
1841,COG1216
1842,COG0562
1843,COG1109
1844,COG0231
1845,COG2072
1846,COG1570
1847,COG1716
1848,COG3629
1849,COG4308
1850,COG0488
1851,COG0304
1852,COG0331
1853,COG1722
1854,COG0318
1855,COG1022
1856,COG1159
1857,COG4842
1858,COG0455
1859,COG0148
1860,COG4842
1861,COG0258
1862,COG0318
1863,COG0318
1864,COG0304
1865,COG0318
1866,COG0318
1867,COG0264
1868,COG0121
1869,COG4842
1870,COG0318
1871,COG1250
1872,COG0266
