PYRNUTRANSHYDROGEN-CPLX,COG1282,COG3288,,,,,,,,,,,,,,,,,,,,,,,,,
TMAOREDUCTI-CPLX,COG3005,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3361,COG1905,COG1894,COG1034,,,,,,,,,,,,,,,,,,,,,,,,
GLUTAMIDOTRANS-CPLX,COG0118,COG0107,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-24-CPLX,COG3842,COG1176,COG1177,COG0687,,,,,,,,,,,,,,,,,,,,,,,
ABC-14-CPLX,COG4598,COG4160,COG4215,COG0834,,,,,,,,,,,,,,,,,,,,,,,
ABC-61-CPLX,COG3127,COG4181,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-3-CPLX,COG4215,COG4598,COG4160,COG0834,,,,,,,,,,,,,,,,,,,,,,,
ABC-52-CPLX,COG1126,COG0765,COG4597,COG0834,,,,,,,,,,,,,,,,,,,,,,,
NITRITREDUCT-CPLX,COG2146,COG1251,,,,,,,,,,,,,,,,,,,,,,,,,
TRANS-CPLX-203,COG1638,COG1593,COG3090,,,,,,,,,,,,,,,,,,,,,,,,
DIMESULFREDUCT-CPLX,COG0243,COG0437,COG3302,,,,,,,,,,,,,,,,,,,,,,,,
ABC-55-CPLX,COG0395,COG1175,COG1653,,,,,,,,,,,,,,,,,,,,,,,,
ACETOLACTSYNI-CPLX,COG0028,COG0440,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-4-CPLX,COG4161,COG4160,COG4215,COG0834,COG0834,,,,,,,,,,,,,,,,,,,,,,
ASPCARBTRANS-CPLX,COG0540,COG1781,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7910,COG2927,COG3050,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7958,COG4778,COG3625,COG3624,COG3626,,,,,,,,,,,,,,,,,,,,,,,
ABC-60-CPLX,COG1172,COG1879,COG1129,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-3944,COG4772,COG3712,,,,,,,,,,,,,,,,,,,,,,,,,
SUCCCOASYN,COG0074,COG0045,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-10-CPLX,COG1120,COG0609,COG4779,COG4592,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7529,COG1596,COG0489,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-48-CPLX,COG4135,COG4136,,,,,,,,,,,,,,,,,,,,,,,,,
RUVABC-CPLX,COG0817,COG2255,COG0632,,,,,,,,,,,,,,,,,,,,,,,,
SULFITE-REDUCT-CPLX,COG0369,COG0155,,,,,,,,,,,,,,,,,,,,,,,,,
CYT-O-UBIOX-CPLX,COG3125,COG1622,COG0843,COG1845,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7428,COG2895,COG0175,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-51-CPLX,COG0687,COG3842,COG1177,COG1176,,,,,,,,,,,,,,,,,,,,,,,
PABSYNMULTI-CPLX,COG0512,COG0147,COG0115,,,,,,,,,,,,,,,,,,,,,,,,
ACETOACETYL-COA-TRANSFER-CPLX,COG2057,COG1788,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3781,COG4115,COG2161,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-57-CPLX,COG0842,COG0842,COG1131,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7935,COG4107,COG3627,COG3626,COG3625,COG3624,,,,,,,,,,,,,,,,,,,,,,
ETHAMLY-CPLX,COG4303,COG4302,,,,,,,,,,,,,,,,,,,,,,,,,
FORMATEDEHYDROGO-CPLX,COG0243,COG0437,COG2864,,,,,,,,,,,,,,,,,,,,,,,,
ABC-22-CPLX,COG1173,COG0444,COG4608,COG0601,COG4166,,,,,,,,,,,,,,,,,,,,,,
ABC-41-CPLX,COG4172,COG4174,COG4239,COG4166,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-231,COG3775,COG3414,b1355,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3937,COG3250,COG2731,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-25-CPLX,COG3842,COG1176,COG1177,COG0687,,,,,,,,,,,,,,,,,,,,,,,
SULFATE-ADENYLYLTRANS-CPLX,COG0175,COG2895,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-12-CPLX,COG1126,COG0765,COG0834,,,,,,,,,,,,,,,,,,,,,,,,
PABASYN-CPLX,COG0147,COG0512,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1601,COG0243,COG0243,COG0437,COG3302,,,,,,,,,,,,,,,,,,,,,,,
FUMARATE-REDUCTASE,COG1053,COG0479,COG3029,COG3080,,,,,,,,,,,,,,,,,,,,,,,
ABC-9-CPLX,COG1120,COG0609,COG0609,COG4594,,,,,,,,,,,,,,,,,,,,,,,
SECD-SECF-YAJC-YIDC-CPLX,COG0706,COG1862,COG0341,COG0342,,,,,,,,,,,,,,,,,,,,,,,
ALPHA-SUBUNIT-CPLX,COG2864,COG0437,COG0243,,,,,,,,,,,,,,,,,,,,,,,,
3-ISOPROPYLMALISOM-CPLX,COG0065,COG0066,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-11-CPLX,COG1120,COG0609,COG0614,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7425,COG1396,COG3550,,,,,,,,,,,,,,,,,,,,,,,,,
FORMATEDEHYDROGN-CPLX,COG0243,COG0437,COG2864,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3956,COG0244,COG0222,,,,,,,,,,,,,,,,,,,,,,,,,
